seller_id,order_volume_perf,late_rate,severe_late_rate,avg_delay,revenue,avg_review,low_review_rate,review_variance,order_volume_rev,seller_risk_index
7d13fca15225358621be4086e1eb0964,565,0.11591695501730104,0.0986159169550173,-10.388791593695272,129169.98,4.001742160278746,0.1782006920415225,1.9912709560902622,565,0.18360766266481027
897060da8b9a21f655304d50fd935913,317,0.11574074074074074,0.09027777777777778,-9.09156626506024,61698.32,3.4004683840749412,0.3125,2.6866664467680397,317,0.19612124563558053
b1fc4f64df5a0e8b6913ab38803c57a9,107,0.11570247933884298,0.09917355371900827,-9.115702479338843,15140.36,3.7815126050420167,0.19834710743801653,2.019655319755021,107,0.1432585973257842
34056b8b55c1775a22af2331670a799c,78,0.11538461538461539,0.038461538461538464,-10.25974025974026,8229.89,4.0,0.15384615384615385,1.792207792207792,78,0.12604176497501024
0b35c634521043bf4b47e21547b99ab5,51,0.11538461538461539,0.10256410256410256,-14.272727272727273,33971.24,3.513157894736842,0.24358974358974358,2.3598245614035087,51,0.12977291383413506
e9bc59e7b60fc3063eb2290deda4cced,216,0.11524163568773234,0.05947955390334572,-13.35,67146.12,3.9442379182156135,0.18587360594795538,2.1871774954225156,216,0.15718832983954217
b2479f944e1b90cf8a5de1bbfde284d6,103,0.11450381679389313,0.10687022900763359,-7.930232558139535,10945.16,3.3333333333333335,0.33587786259541985,2.864583333333334,103,0.15954014539035247
972d0f9cf61b499a4812cf0bfa3ad3c4,83,0.11363636363636363,0.09090909090909091,-9.093023255813954,11896.84,2.9642857142857144,0.42045454545454547,2.8782271944922546,83,0.16985606567307335
318f287a62ab7ac10b703ac37435a231,52,0.11290322580645161,0.08064516129032258,-8.868852459016393,6097.04,3.870967741935484,0.20967741935483872,2.2781597038603913,52,0.11580018081193688
3db66a856d18a9cba7c9241fc5221c50,94,0.11224489795918367,0.07142857142857142,-11.26530612244898,12335.08,4.177083333333333,0.10204081632653061,1.5156798245614034,94,0.1223699424278633
4869f7a5dfa277a7dca6462dcf3b52b2,1132,0.1115916955017301,0.0847750865051903,-10.551393728222996,264166.13,4.12129144851658,0.1375432525951557,1.771301736817637,1132,0.19042149164121652
